FOTOMETRÍA RELATIVA

V2 
FECHA J HELIO         MAG      +/-    RSR  AIRMS  TRANS  FWHM"   FONDO   N   NUM
-----------------------------------------  -----  -----  -----  ------  --  ----
2455790.41520     0.01452  0.04538     23  1.170   0.98   2.03   -0.10  01  0001
2455790.41752     0.01749  0.04538     23  1.163   0.98   2.13   -0.09  01  0002
2455790.41986    -0.03725  0.04423     24  1.156   0.98   2.16   -0.07  01  0003
2455790.42220    -0.04423  0.04386     24  1.150   0.99   2.14   -0.04  01  0004
2455790.42454    -0.07788  0.04335     25  1.144   0.99   2.12   -0.05  01  0005
2455790.42688    -0.06937  0.04342     25  1.138   0.99   2.19   -0.04  01  0006
2455790.42920    -0.10779  0.04260     25  1.133   1.00   2.05   -0.03  01  0007
2455790.43154    -0.04013  0.04391     24  1.127   1.00   2.09   -0.03  01  0008
2455790.43387    -0.03791  0.04387     24  1.122   1.00   2.17   -0.03  01  0009
2455790.43620    -0.08569  0.04301     25  1.117   1.00   1.97   -0.03  01  0010
2455790.43854    -0.06497  0.04342     25  1.113   1.00   2.15   -0.03  01  0011
2455790.44088    -0.14082  0.04181     25  1.108   1.00   2.01   -0.01  01  0012
2455790.44322    -0.16511  0.04127     26  1.104   1.01   1.93    0.01  01  0013
2455790.44556    -0.12948  0.04201     25  1.100   1.00   2.24    0.00  01  0014
2455790.44789    -0.09949  0.04235     25  1.096   1.02   2.08    0.03  01  0015
2455790.45023    -0.07637  0.04289     25  1.092   1.01   2.06    0.02  01  0016
2455790.45256    -0.14764  0.04152     26  1.089   1.01   2.17    0.02  01  0017
2455790.45490    -0.14031  0.04162     26  1.086   1.01   1.91    0.02  01  0018
2455790.45723    -0.13515  0.04168     26  1.083   1.01   2.04    0.03  01  0019
2455790.45957    -0.13125  0.04167     26  1.080   1.02   1.98    0.03  01  0020
2455790.46191    -0.13227  0.04173     26  1.077   1.02   1.94    0.03  01  0021
2455790.46425    -0.13290  0.04180     25  1.075   1.01   2.02    0.02  01  0022
2455790.46659    -0.13211  0.04175     26  1.072   1.02   2.09    0.04  01  0023
2455790.46891    -0.12654  0.04167     26  1.070   1.02   1.85    0.05  01  0024
2455790.47125    -0.10480  0.04232     25  1.069   1.01   1.97    0.03  01  0025
2455790.47359    -0.06978  0.04265     25  1.067   1.03   2.09    0.06  01  0026
2455790.47593    -0.08730  0.04228     25  1.065   1.03   1.91    0.07  01  0027
2455790.47826    -0.06488  0.04265     25  1.064   1.03   2.04    0.09  01  0028
