FOTOMETRÍA RELATIVA

V2 
FECHA J HELIO         MAG      +/-    RSR  AIRMS  TRANS  FWHM"   FONDO   N   NUM
-----------------------------------------  -----  -----  -----  ------  --  ----
2455793.35419     0.14145  0.04043     26  1.387   1.03   2.28   -0.46  01  0001
2455793.35590     0.09621  0.03953     27  1.377   1.03   2.23   -0.43  01  0002
2455793.35762     0.04530  0.03861     28  1.366   1.04   2.78   -0.41  01  0003
2455793.35934     0.13316  0.04010     27  1.357   1.04   2.27   -0.40  01  0004
2455793.36106     0.00572  0.03785     28  1.347   1.04   2.54   -0.38  01  0005
2455793.36278     0.00260  0.03782     28  1.338   1.04   2.60   -0.36  01  0006
2455793.36450     0.02510  0.03822     28  1.328   1.04   2.37   -0.35  01  0007
2455793.36622    -0.04421  0.03696     29  1.320   1.04   2.29   -0.34  01  0008
2455793.41738    -0.08728  0.03565     30  1.138   1.08   1.99   -0.10  01  0009
2455793.41909    -0.10031  0.03550     30  1.134   1.07   2.14   -0.10  01  0010
2455793.42082    -0.09544  0.03574     30  1.131   1.06   2.85   -0.10  01  0011
2455793.42255    -0.08948  0.03561     30  1.127   1.08   2.34   -0.09  01  0012
2455793.42427    -0.05423  0.03617     30  1.124   1.08   2.08   -0.08  01  0013
2455793.42599    -0.07658  0.03582     30  1.120   1.08   2.26   -0.08  01  0014
2455793.42770    -0.05684  0.03618     30  1.117   1.08   1.86   -0.07  01  0015
2455793.42943    -0.09284  0.03561     30  1.114   1.08   2.36   -0.07  01  0016
2455793.43114    -0.05486  0.03629     29  1.111   1.07   2.60   -0.06  01  0017
2455793.43285    -0.01642  0.03658     29  1.108   1.09   1.97   -0.04  01  0018
2455793.43457    -0.03694  0.03632     29  1.105   1.09   1.84   -0.03  01  0019
2455793.43629     0.01878  0.03706     29  1.103   1.10   2.12   -0.02  01  0020
2455793.43802     0.04087  0.03773     28  1.100   1.08   2.30   -0.03  01  0021
2455793.43973     0.03364  0.03708     29  1.097   1.11   1.60    0.01  01  0022
2455793.44145     0.02847  0.03730     29  1.095   1.09   2.10    0.00  01  0023
2455793.44316     0.04629  0.03765     28  1.093   1.09   2.12    0.00  01  0024
2455793.44487     0.04852  0.03760     28  1.091   1.10   1.99    0.01  01  0025
2455793.44659     0.08533  0.03818     28  1.089   1.10   2.01    0.01  01  0026
2455793.44833     0.11500  0.03878     28  1.087   1.09   1.95    0.01  01  0027
2455793.45005     0.16055  0.03991     27  1.085   1.08   2.78   -0.02  01  0028
2455793.45177     0.22171  0.04087     26  1.083   1.08   2.37    0.00  01  0029
2455793.45349     0.14241  0.03916     27  1.082   1.10   1.82    0.02  01  0030
2455793.45520     0.20624  0.04035     26  1.080   1.10   1.93    0.02  01  0031
2455793.45693     0.21609  0.04053     26  1.079   1.10   1.90    0.02  01  0032
2455793.45864     0.25473  0.04133     26  1.077   1.09   1.95    0.02  01  0033
2455793.46037     0.24017  0.04096     26  1.076   1.10   1.87    0.03  01  0034
2455793.46209     0.20744  0.04056     26  1.075   1.09   2.41    0.02  01  0035
2455793.46380     0.30373  0.04206     25  1.074   1.10   1.97    0.04  01  0036
2455793.46725     0.23827  0.04081     26  1.072   1.10   2.06    0.04  01  0037
2455793.47070     0.25667  0.04091     26  1.071   1.12   1.73    0.06  01  0038
2455793.47241     0.27101  0.04132     26  1.070   1.11   1.87    0.06  01  0039
2455793.47413     0.26318  0.04129     26  1.070   1.10   1.93    0.06  01  0040
2455793.47584     0.25986  0.04107     26  1.069   1.11   1.69    0.07  01  0041
2455793.47757     0.29707  0.04191     25  1.069   1.10   2.13    0.06  01  0042
2455793.47929     0.24709  0.04084     26  1.069   1.11   1.87    0.08  01  0043
2455793.48103     0.22976  0.04073     26  1.069   1.10   1.88    0.07  01  0044
2455793.48275     0.23153  0.04053     26  1.069   1.11   1.59    0.09  01  0045
2455793.48447     0.17996  0.04007     27  1.069   1.09   2.49    0.07  01  0046
2455793.48619     0.24597  0.04110     26  1.069   1.10   1.91    0.08  01  0047
2455793.48961     0.17751  0.03992     27  1.069   1.09   2.15    0.07  01  0048
2455793.49134     0.16891  0.03972     27  1.070   1.09   2.09    0.08  01  0049
2455793.49476     0.07433  0.03793     28  1.071   1.10   1.82    0.08  01  0050
2455793.49648     0.05728  0.03762     28  1.072   1.10   1.99    0.09  01  0051
2455793.49820     0.07913  0.03821     28  1.073   1.09   2.15    0.08  01  0052
2455793.49991     0.07275  0.03791     28  1.074   1.10   1.68    0.09  01  0053
2455793.50164     0.07027  0.03807     28  1.075   1.09   2.23    0.08  01  0054
2455793.50336    -0.00610  0.03688     29  1.076   1.08   2.43    0.07  01  0055
2455793.50336    -0.00610  0.03688     29  1.076   1.08   2.43    0.07  01  0056
2455793.50509    -0.05414  0.03606     30  1.077   1.09   2.25    0.08  01  0057
2455793.50509    -0.05414  0.03606     30  1.077   1.09   2.25    0.08  01  0058
2455793.50681    -0.00096  0.03698     29  1.078   1.08   2.26    0.07  01  0059
2455793.50681    -0.00096  0.03698     29  1.078   1.08   2.26    0.07  01  0060
2455793.50854    -0.06938  0.03568     30  1.080   1.09   2.13    0.08  01  0061
2455793.50854    -0.06938  0.03568     30  1.080   1.09   2.13    0.08  01  0062
2455793.51025    -0.00973  0.03667     29  1.081   1.09   2.11    0.08  01  0063
2455793.51025    -0.00973  0.03667     29  1.081   1.09   2.11    0.08  01  0064
2455793.51197    -0.05049  0.03636     29  1.083   1.07   2.92    0.06  01  0065
2455793.51197    -0.05049  0.03636     29  1.083   1.07   2.92    0.06  01  0066
2455793.51370    -0.11756  0.03489     31  1.085   1.10   2.10    0.09  01  0067
2455793.51370    -0.11756  0.03489     31  1.085   1.10   2.10    0.09  01  0068
2455793.51542    -0.06668  0.03587     30  1.086   1.09   2.09    0.08  01  0069
2455793.51542    -0.06668  0.03587     30  1.086   1.09   2.09    0.08  01  0070
2455793.51715    -0.02431  0.03661     29  1.088   1.08   2.18    0.09  01  0071
2455793.51715    -0.02431  0.03661     29  1.088   1.08   2.18    0.09  01  0072
2455793.51886    -0.05407  0.03613     30  1.090   1.08   2.00    0.09  01  0073
2455793.51886    -0.05407  0.03613     30  1.090   1.08   2.00    0.09  01  0074
2455793.52059    -0.13279  0.03500     31  1.092   1.07   2.06    0.08  01  0075
2455793.52059    -0.13279  0.03500     31  1.092   1.07   2.06    0.08  01  0076
2455793.52231    -0.08912  0.03566     30  1.095   1.08   2.17    0.08  01  0077
2455793.52231    -0.08912  0.03566     30  1.095   1.08   2.17    0.08  01  0078
2455793.52402    -0.08344  0.03593     30  1.097   1.07   1.75    0.08  01  0079
2455793.52402    -0.08344  0.03593     30  1.097   1.07   1.75    0.08  01  0080
2455793.52575    -0.08772  0.03578     30  1.099   1.07   2.27    0.09  01  0081
2455793.52575    -0.08772  0.03578     30  1.099   1.07   2.27    0.09  01  0082
2455793.52747    -0.08469  0.03677     29  1.102   1.02   2.03    0.05  01  0083
2455793.52747    -0.08469  0.03677     29  1.102   1.02   2.03    0.05  01  0084
2455793.53092    -0.13928  0.03555     30  1.107   1.03   2.69    0.06  01  0085
2455793.53092    -0.13928  0.03555     30  1.107   1.03   2.69    0.06  01  0086
2455793.53263    -0.10965  0.03638     29  1.110   1.01   1.98    0.08  01  0087
2455793.53263    -0.10965  0.03638     29  1.110   1.01   1.98    0.08  01  0088
2455793.53436    -0.09314  0.03645     29  1.113   1.03   2.32    0.06  01  0089
2455793.53436    -0.09314  0.03645     29  1.113   1.03   2.32    0.06  01  0090
2455793.53608    -0.10718  0.03742     29  1.116   0.96   2.69    0.05  01  0091
2455793.53608    -0.10718  0.03742     29  1.116   0.96   2.69    0.05  01  0092
2455793.53781    -0.07192  0.03721     29  1.120   1.00   1.94    0.06  01  0093
2455793.53781    -0.07192  0.03721     29  1.120   1.00   1.94    0.06  01  0094
2455793.53954    -0.14437  0.03655     29  1.123   0.97   2.11    0.06  01  0095
2455793.53954    -0.14437  0.03655     29  1.123   0.97   2.11    0.06  01  0096
2455793.54127    -0.15443  0.03687     29  1.126   0.95   2.81    0.04  01  0097
2455793.54127    -0.15443  0.03687     29  1.126   0.95   2.81    0.04  01  0098
2455793.54299    -0.08975  0.03729     29  1.130   0.98   2.39    0.04  01  0099
2455793.54299    -0.08975  0.03729     29  1.130   0.98   2.39    0.04  01  0100
2455793.54472    -0.16093  0.03753     28  1.134   0.91   2.40    0.02  01  0101
2455793.54472    -0.16093  0.03753     28  1.134   0.91   2.40    0.02  01  0102
2455793.54645    -0.14858  0.03705     29  1.137   0.94   2.21    0.05  01  0103
2455793.54645    -0.14858  0.03705     29  1.137   0.94   2.21    0.05  01  0104
2455793.54817    -0.12718  0.03751     28  1.141   0.94   2.27    0.06  01  0105
2455793.54817    -0.12718  0.03751     28  1.141   0.94   2.27    0.06  01  0106
2455793.54989    -0.09767  0.03926     27  1.145   0.88   2.23    0.05  01  0107
2455793.54989    -0.09767  0.03926     27  1.145   0.88   2.23    0.05  01  0108
2455793.55160    -0.08709  0.03875     28  1.150   0.91   2.44    0.04  01  0109
2455793.55160    -0.08709  0.03875     28  1.150   0.91   2.44    0.04  01  0110
2455793.55333    -0.08920  0.03889     27  1.154   0.90   2.45    0.04  01  0111
2455793.55333    -0.08920  0.03889     27  1.154   0.90   2.45    0.04  01  0112
2455793.55504    -0.14355  0.03844     28  1.158   0.88   2.24    0.04  01  0113
2455793.55504    -0.14355  0.03844     28  1.158   0.88   2.24    0.04  01  0114
2455793.55677    -0.06123  0.03916     27  1.163   0.91   2.15    0.04  01  0115
2455793.55677    -0.06123  0.03916     27  1.163   0.91   2.15    0.04  01  0116
2455793.55849    -0.09196  0.04087     26  1.168   0.81   2.77    0.02  01  0117
2455793.55849    -0.09196  0.04087     26  1.168   0.81   2.77    0.02  01  0118
2455793.56020    -0.12298  0.03941     27  1.173   0.85   1.81    0.03  01  0119
2455793.56020    -0.12298  0.03941     27  1.173   0.85   1.81    0.03  01  0120
2455793.56193    -0.13668  0.03871     28  1.178   0.87   2.48    0.02  01  0121
2455793.56193    -0.13668  0.03871     28  1.178   0.87   2.48    0.02  01  0122
2455793.56364    -0.13961  0.04071     26  1.183   0.78   2.66    0.00  01  0123
2455793.56364    -0.13961  0.04071     26  1.183   0.78   2.66    0.00  01  0124
2455793.56537    -0.13614  0.04022     27  1.188   0.81   2.53    0.01  01  0125
2455793.56537    -0.13614  0.04022     27  1.188   0.81   2.53    0.01  01  0126
2455793.56709    -0.05584  0.04093     26  1.193   0.84   2.44    0.00  01  0127
2455793.56709    -0.05584  0.04093     26  1.193   0.84   2.44    0.00  01  0128
2455793.56882    -0.07880  0.04068     26  1.199   0.83   2.63    0.00  01  0129
2455793.56882    -0.07880  0.04068     26  1.199   0.83   2.63    0.00  01  0130
2455793.57054    -0.06146  0.04273     25  1.205   0.76   2.31   -0.01  01  0131
2455793.57054    -0.06146  0.04273     25  1.205   0.76   2.31   -0.01  01  0132
2455793.57228     0.01063  0.04337     25  1.211   0.79   2.58   -0.02  01  0133
2455793.57228     0.01063  0.04337     25  1.211   0.79   2.58   -0.02  01  0134
2455793.57399    -0.04221  0.04157     26  1.217   0.82   2.49   -0.02  01  0135
2455793.57399    -0.04221  0.04157     26  1.217   0.82   2.49   -0.02  01  0136
2455793.57572    -0.03426  0.04445     24  1.223   0.72   2.44   -0.04  01  0137
2455793.57572    -0.03426  0.04445     24  1.223   0.72   2.44   -0.04  01  0138
2455793.57745    -0.04925  0.04384     24  1.229   0.73   2.39   -0.05  01  0139
2455793.57745    -0.04925  0.04384     24  1.229   0.73   2.39   -0.05  01  0140
2455793.57917    -0.04309  0.04289     25  1.236   0.77   2.44   -0.04  01  0141
2455793.57917    -0.04309  0.04289     25  1.236   0.77   2.44   -0.04  01  0142
2455793.58090     0.00736  0.04340     25  1.243   0.79   2.60   -0.05  01  0143
2455793.59179     0.14564  0.04255     25  1.290   0.93   2.60   -0.07  01  0144
2455793.59353     0.12469  0.04031     26  1.298   1.02   2.94   -0.07  01  0145
2455793.59524     0.14105  0.04049     26  1.306   1.03   2.69   -0.06  01  0146
2455793.59695     0.17893  0.04118     26  1.315   1.03   2.47   -0.07  01  0147
2455793.59866     0.11138  0.04001     27  1.323   1.02   2.61   -0.08  01  0148
2455793.60209     0.19892  0.04146     26  1.342   1.03   2.32   -0.08  01  0149
2455793.60381     0.15026  0.04079     26  1.351   1.02   2.45   -0.12  01  0150
2455793.60555     0.24666  0.04238     25  1.361   1.03   2.44   -0.12  01  0151
2455793.60725     0.22139  0.04232     25  1.371   1.01   2.37   -0.12  01  0152
2455793.60899     0.22232  0.04260     25  1.381   1.00   2.72   -0.14  01  0153
2455793.61243     0.28645  0.04373     24  1.402   1.00   2.66   -0.15  01  0154

Observador: Julio Castellano
FotoDif 3.84
