FOTOMETRÍA RELATIVA

V2 
FECHA J HELIO         MAG      +/-    RSR  AIRMS  TRANS  FWHM"   FONDO   N   NUM
-----------------------------------------  -----  -----  -----  ------  --  ----
2455792.35562    -0.13213  0.04382     24  1.421   0.96   1.83    0.12  01  0001
2455792.35794    -0.15806  0.04311     25  1.406   0.97   2.16    0.15  01  0002
2455792.36027    -0.14661  0.04314     25  1.391   0.97   1.82    0.18  01  0003
2455792.36261    -0.13117  0.04340     25  1.376   0.98   1.73    0.20  01  0004
2455792.36495    -0.16191  0.04275     25  1.362   0.98   1.87    0.22  01  0005
2455792.36727    -0.14885  0.04304     25  1.349   0.98   1.87    0.22  01  0006
2455792.36961    -0.15452  0.04275     25  1.335   0.99   1.83    0.23  01  0007
2455792.37193    -0.13175  0.04312     25  1.323   0.99   1.97    0.24  01  0008
2455792.37426    -0.16444  0.04248     25  1.311   0.99   1.90    0.22  01  0009
2455792.37659    -0.14470  0.04268     25  1.299   1.00   1.93    0.21  01  0010
2455792.37893    -0.14229  0.04282     25  1.287   0.99   1.87    0.19  01  0011
2455792.38126    -0.12405  0.04292     25  1.276   1.01   1.98    0.18  01  0012
2455792.38359    -0.14920  0.04263     25  1.266   1.00   2.08    0.15  01  0013
2455792.38592    -0.10133  0.04333     25  1.256   1.01   1.96    0.14  01  0014
2455792.38826    -0.07509  0.04384     24  1.246   1.01   1.85    0.12  01  0015
2455792.39058    -0.09800  0.04349     24  1.236   1.00   2.06    0.09  01  0016
2455792.39291    -0.06635  0.04386     24  1.227   1.02   1.96    0.07  01  0017
2455792.39525    -0.07110  0.04386     24  1.218   1.01   1.87    0.06  01  0018
2455792.39759    -0.04514  0.04439     24  1.209   1.01   1.99    0.05  01  0019
2455792.39991    -0.04176  0.04432     24  1.201   1.02   2.02    0.05  01  0020
2455792.40225    -0.04303  0.04439     24  1.193   1.01   1.92    0.04  01  0021
2455792.40459     0.02011  0.04555     23  1.185   1.02   2.06    0.03  01  0022
2455792.40692    -0.01261  0.04483     24  1.178   1.02   2.07    0.02  01  0023
2455792.40925     0.03849  0.04578     23  1.171   1.02   1.94    0.03  01  0024
2455792.41159     0.02470  0.04551     23  1.164   1.02   1.99    0.03  01  0025
2455792.41393     0.05453  0.04621     23  1.157   1.02   1.87    0.01  01  0026
2455792.41626     0.06278  0.04641     23  1.151   1.02   1.95    0.01  01  0027
2455792.41859     0.09339  0.04701     23  1.145   1.02   2.18    0.02  01  0028
2455792.42093     0.14890  0.04805     22  1.139   1.03   1.92    0.02  01  0029
2455792.42326     0.16607  0.04863     22  1.134   1.02   2.13    0.01  01  0030
2455792.42558     0.18096  0.04872     22  1.128   1.03   2.01    0.02  01  0031
2455792.42851     0.19815  0.04918     22  1.122   1.02   1.99    0.02  01  0032
2455792.43084     0.20259  0.04918     22  1.117   1.03   2.19    0.03  01  0033
2455792.43318     0.27067  0.05067     21  1.112   1.03   2.02    0.04  01  0034
2455792.43551     0.26415  0.05051     21  1.108   1.03   2.14    0.04  01  0035
2455792.43785     0.23901  0.04995     21  1.104   1.03   2.10    0.06  01  0036
2455792.44019     0.28217  0.05086     21  1.100   1.03   2.14    0.08  01  0037
2455792.44252     0.30188  0.05120     21  1.096   1.04   2.18    0.09  01  0038
2455792.44486     0.25587  0.05011     21  1.092   1.04   2.18    0.08  01  0039
2455792.44719     0.29111  0.05096     21  1.089   1.04   2.08    0.08  01  0040
2455792.44952     0.20876  0.04918     22  1.086   1.03   2.19    0.08  01  0041
2455792.45186     0.22030  0.04938     21  1.083   1.04   2.28    0.09  01  0042
2455792.45653     0.14819  0.04780     22  1.077   1.04   2.26    0.11  01  0043
2455792.45886     0.16040  0.04805     22  1.075   1.04   2.20    0.11  01  0044
2455792.46120     0.10369  0.04691     23  1.073   1.03   2.35    0.12  01  0045
2455792.46354     0.08701  0.04645     23  1.071   1.04   2.21    0.12  01  0046
2455792.46586     0.08387  0.04645     23  1.069   1.04   2.26    0.13  01  0047
2455792.46820     0.07639  0.04617     23  1.067   1.04   2.41    0.13  01  0048
2455792.47053     0.06771  0.04609     23  1.066   1.04   2.24    0.12  01  0049
2455792.47286     0.01909  0.04510     24  1.064   1.04   2.35    0.13  01  0050
2455792.47520    -0.00259  0.04456     24  1.063   1.04   2.18    0.14  01  0051
2455792.47753    -0.04742  0.04364     24  1.062   1.04   2.26    0.13  01  0052
2455792.47987    -0.02979  0.04412     24  1.061   1.04   2.31    0.13  01  0053
2455792.48220    -0.03555  0.04391     24  1.061   1.04   2.44    0.14  01  0054
2455792.48453    -0.10180  0.04268     25  1.060   1.04   2.28    0.14  01  0055
2455792.48687    -0.09264  0.04284     25  1.060   1.04   2.40    0.14  01  0056
2455792.48921    -0.11897  0.04243     25  1.060   1.03   2.43    0.13  01  0057
2455792.49154    -0.08639  0.04307     25  1.060   1.03   2.33    0.14  01  0058
2455792.49388    -0.09737  0.04272     25  1.060   1.04   2.34    0.16  01  0059
2455792.49622    -0.12903  0.04217     25  1.060   1.04   2.48    0.16  01  0060
2455792.49856    -0.12557  0.04225     25  1.061   1.04   2.48    0.16  01  0061
2455792.50090    -0.12526  0.04230     25  1.062   1.04   2.29    0.16  01  0062
2455792.50323    -0.14161  0.04212     25  1.063   1.03   2.55    0.15  01  0063
2455792.50557    -0.12250  0.04243     25  1.064   1.03   2.50    0.14  01  0064
2455792.51173    -0.12687  0.04176     26  1.068   1.06   1.82    0.17  01  0065
2455792.51408    -0.14136  0.04154     26  1.069   1.06   1.93    0.17  01  0066
2455792.51641    -0.14758  0.04146     26  1.071   1.06   2.00    0.16  01  0067
2455792.51876    -0.12135  0.04204     25  1.073   1.05   1.87    0.16  01  0068
2455792.52109    -0.11565  0.04210     25  1.076   1.05   1.82    0.17  01  0069
2455792.52344    -0.10577  0.04233     25  1.078   1.05   2.00    0.17  01  0070
2455792.52578    -0.13028  0.04191     25  1.081   1.05   2.01    0.16  01  0071
