FOTOMETRÍA RELATIVA

V2 
FECHA J HELIO         MAG      +/-    RSR  AIRMS  TRANS  FWHM"   FONDO   N   NUM
-----------------------------------------  -----  -----  -----  ------  --  ----
2455793.33768     0.16647  0.06020     18  1.535   0.80   3.63   -0.60  01  0001
2455793.34010     0.11234  0.05845     18  1.515   0.81   3.42   -0.47  01  0002
2455793.34252     0.13800  0.05656     19  1.495   0.89   3.39   -0.28  01  0003
2455793.34493     0.13293  0.05538     19  1.476   0.92   3.20   -0.18  01  0004
2455793.34733     0.14378  0.05677     19  1.458   0.89   3.38   -0.17  01  0005
2455793.34974     0.08436  0.05449     19  1.441   0.91   3.27   -0.11  01  0006
2455793.35215     0.05711  0.05403     20  1.424   0.91   3.32   -0.08  01  0007
2455793.35457     0.06442  0.05441     19  1.408   0.90   3.40   -0.07  01  0008
2455793.35696    -0.02360  0.05164     21  1.392   0.92   3.26   -0.03  01  0009
2455793.35937    -0.01201  0.05142     21  1.377   0.94   3.20    0.01  01  0010
2455793.36178    -0.02261  0.05188     20  1.363   0.91   3.32   -0.01  01  0011
2455793.36420    -0.03591  0.05065     21  1.348   0.95   3.23    0.05  01  0012
2455793.36659    -0.02207  0.05103     21  1.335   0.95   3.20    0.06  01  0013
2455793.36900    -0.07502  0.04909     22  1.322   0.98   3.03    0.11  01  0014
2455793.37141    -0.08592  0.04920     22  1.309   0.96   3.13    0.11  01  0015
2455793.37382    -0.08912  0.04872     22  1.297   0.98   3.00    0.14  01  0016
2455793.37622    -0.07686  0.04887     22  1.286   0.98   3.07    0.15  01  0017
2455793.37862    -0.13585  0.04746     22  1.274   0.99   3.03    0.18  01  0018
2455793.38103    -0.11316  0.04828     22  1.263   0.98   3.12    0.18  01  0019
2455793.38344    -0.11541  0.04833     22  1.253   0.97   3.07    0.19  01  0020
2455793.38820    -0.13215  0.04863     22  1.233   0.94   3.37    0.18  01  0021
2455793.39061    -0.16072  0.04807     22  1.224   0.94   3.29    0.18  01  0022
2455793.39302    -0.13935  0.04909     22  1.215   0.92   3.57    0.16  01  0023
2455793.39542    -0.12852  0.04799     22  1.206   0.97   3.10    0.21  01  0024
2455793.39783    -0.12531  0.04824     22  1.198   0.97   3.36    0.20  01  0025
2455793.40024    -0.14871  0.04788     22  1.190   0.96   3.31    0.17  01  0026
2455793.40265    -0.14394  0.04742     22  1.182   0.98   3.30    0.18  01  0027
2455793.40505    -0.13008  0.04796     22  1.174   0.97   3.38    0.15  01  0028
2455793.40747    -0.16616  0.04736     22  1.167   0.97   3.36    0.12  01  0029
2455793.40988    -0.16037  0.04734     22  1.160   0.97   3.35    0.11  01  0030
